,Date,Manner of Death,Armed,Age,Gender,Race,City,State,Signs of Mental Illness,Threat Level,Flee,Body Camera,Longitude,Latitude,Is Geocoding Exact
43,2015-01-18,Shot and Tasered,Gun,67.0,Male,"White, non-Hispanic",Gunlock,Kentucky,True,Attack,Not fleeing,False,-82.921,37.565,True
44,2015-01-19,Shot,Knife,49.0,Male,"White, non-Hispanic",Weymouth,Massachusetts,False,Attack,Not fleeing,False,-70.932,42.257,True
45,2015-01-20,Shot,,42.0,Male,"Black, non-Hispanic",Scottsdale,Arizona,False,Other,Car,False,-111.90899999999999,33.509,True
46,2015-01-21,Shot,Gun,36.0,Male,"White, non-Hispanic",Hemet,California,False,Attack,Not fleeing,False,-116.958,33.742,True
47,2015-01-21,Shot,Gun,36.0,Male,Hispanic,Chapeno,Texas,False,Attack,Foot,False,-99.12299999999999,26.559,True
48,2015-01-21,Shot,Gun,19.0,Male,"Black, non-Hispanic",St. Louis,Missouri,False,Attack,Not fleeing,False,-90.25,38.665,True
49,2015-01-21,Shot,Gun,54.0,Male,"White, non-Hispanic",Derry,New Hampshire,True,Attack,Not fleeing,False,-71.337,42.908,True
50,2015-01-22,Shot,Toy Weapon,25.0,Male,"Black, non-Hispanic",Sierra Blanca,Texas,False,Attack,Car,False,-105.02799999999999,31.08,True
51,2015-01-22,Shot and Tasered,Knife,17.0,Female,"White, non-Hispanic",Longview,Texas,True,Other,Not fleeing,False,-94.74600000000001,32.495,True
52,2015-01-23,Shot,,29.0,Male,"Black, non-Hispanic",Fort Lauderdale,Florida,False,Other,Not fleeing,False,-80.212,26.15,True
53,2015-01-23,Shot,Knife,56.0,Male,Hispanic,Levelland,Texas,False,Other,Not fleeing,False,-102.369,33.578,True
54,2015-01-23,Shot,Gun,61.0,Male,"White, non-Hispanic",Austin,Texas,True,Attack,Not fleeing,False,-97.789,30.166999999999998,True
55,2015-01-24,Shot,Gun,45.0,Male,"White, non-Hispanic",Rexburg,Idaho,False,Attack,Not fleeing,False,-111.78,43.826,True
56,2015-01-24,Shot,Knife,26.0,Male,"Black, non-Hispanic",Baltimore,Maryland,True,Other,Not fleeing,False,-76.648,39.284,True
57,2015-01-24,Shot,Gun,40.0,Male,"White, non-Hispanic",Fort Worth,Texas,False,Attack,Not fleeing,False,-97.38,32.678000000000004,True
58,2015-01-25,Shot,Gun,26.0,Male,Hispanic,Pueblo,Colorado,False,Attack,Car,False,-104.574,38.285,True
59,2015-01-25,Shot,Gun,59.0,Male,,Winslow,New Jersey,False,Attack,Not fleeing,False,-74.929,39.749,True
60,2015-01-26,Shot,Vehicle,17.0,Female,Hispanic,Denver,Colorado,False,Other,Not fleeing,False,-104.90899999999999,39.754,True
61,2015-01-26,Shot,Gun,68.0,Male,"White, non-Hispanic",New Hope,Minnesota,True,Attack,Not fleeing,False,-93.38600000000001,45.036,True
62,2015-01-26,Shot,Unarmed,24.0,Male,Hispanic,Tahoka,Texas,False,Other,Car,False,-101.666,33.166,True
63,2015-01-26,Shot,Knife,34.0,Male,Hispanic,Wasco,California,True,Other,Not fleeing,False,-119.335,35.589,True
64,2015-01-27,Shot,Knife,39.0,Female,"White, non-Hispanic",Omaha,Nebraska,True,Attack,Not fleeing,False,-95.99,41.243,True
65,2015-01-27,Shot,,26.0,Male,Native American,Phoenix,Arizona,False,Other,Not fleeing,False,-112.113,33.495,True
66,2015-01-27,Shot,Gun,29.0,Male,"White, non-Hispanic",Morenci,Arizona,False,Attack,Not fleeing,False,-109.32600000000001,33.054,True
67,2015-01-27,Shot,Gun,33.0,Male,"Black, non-Hispanic",Columbus,Ohio,False,Attack,Not fleeing,False,-82.99700000000001,39.879,True
68,2015-01-28,Shot,Gun,45.0,Male,"White, non-Hispanic",Sunset,Texas,False,Attack,Not fleeing,False,-97.82799999999999,33.47,True
69,2015-01-28,Shot,Gun,26.0,Male,"White, non-Hispanic",Rosenberg,Texas,False,Attack,Not fleeing,False,-95.78399999999999,29.558000000000003,True
70,2015-01-28,Shot and Tasered,Hammer,35.0,Male,Asian,Stockton,California,True,Attack,Not fleeing,False,-121.316,38.029,True
71,2015-01-29,Shot,Gun,31.0,Male,"White, non-Hispanic",Wyoming,Michigan,True,Attack,Not fleeing,False,-85.66,42.894,True
72,2015-01-29,Shot,Unarmed,42.0,Male,"White, non-Hispanic",Stillwater,Oklahoma,False,Other,Foot,False,-97.05,36.121,True
